تناوب,دوره,عنوان دوره,مدیر,نوع صندوق,خالص ارزش دارایی (میلیارد ریال),سهم از کل صنعت ٪
ماهانه,1399-01,فروردین 1399,سایر مدیران,اختصاصی بازارگردانی,76776.5,3.525
ماهانه,1399-01,فروردین 1399,سایر مدیران,اهرمی,1213.6,0.056
ماهانه,1399-01,فروردین 1399,سایر مدیران,بازنشستگی,3603.0,0.165
ماهانه,1399-01,فروردین 1399,سایر مدیران,بخشی,1377.9,0.063
ماهانه,1399-01,فروردین 1399,سایر مدیران,جسورانه,734.0,0.034
ماهانه,1399-01,فروردین 1399,سایر مدیران,درآمد ثابت,1848970.6,84.901
ماهانه,1399-01,فروردین 1399,سایر مدیران,سهامی,84556.7,3.883
ماهانه,1399-01,فروردین 1399,سایر مدیران,شاخصی,1568.9,0.072
ماهانه,1399-01,فروردین 1399,سایر مدیران,صندوق در صندوق,621.0,0.028
ماهانه,1399-01,فروردین 1399,سایر مدیران,مختلط,8975.8,0.412
ماهانه,1399-01,فروردین 1399,سایر مدیران,پروژه‌ای,9950.1,0.457
ماهانه,1399-01,فروردین 1399,سایر مدیران,کالایی,12199.3,0.56
ماهانه,1399-01,فروردین 1399,سبد گردان کاریزما,اختصاصی بازارگردانی,638.9,0.029
ماهانه,1399-01,فروردین 1399,سبد گردان کاریزما,درآمد ثابت,27991.6,1.285
ماهانه,1399-01,فروردین 1399,سبد گردان کاریزما,سهامی,2485.1,0.114
ماهانه,1399-01,فروردین 1399,سبد گردان کاریزما,شاخصی,668.6,0.031
ماهانه,1399-01,فروردین 1399,سبدگردان آگاه,درآمد ثابت,1081.5,0.05
ماهانه,1399-01,فروردین 1399,سبدگردان آگاه,سهامی,9815.6,0.451
ماهانه,1399-01,فروردین 1399,سبدگردان آگاه,مختلط,67.4,0.003
ماهانه,1399-01,فروردین 1399,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,25.7,0.001
ماهانه,1399-01,فروردین 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1706.4,0.078
ماهانه,1399-01,فروردین 1399,سبدگردان توسعه فیروزه,سهامی,1608.2,0.074
ماهانه,1399-01,فروردین 1399,سبدگردان توسعه فیروزه,شاخصی,770.2,0.035
ماهانه,1399-01,فروردین 1399,سبدگردان فارابی,اختصاصی بازارگردانی,263.7,0.012
ماهانه,1399-01,فروردین 1399,سبدگردان فارابی,درآمد ثابت,3091.3,0.142
ماهانه,1399-01,فروردین 1399,سبدگردان فارابی,سهامی,3226.3,0.148
ماهانه,1399-01,فروردین 1399,سبدگردان مفید,اختصاصی بازارگردانی,462.5,0.021
ماهانه,1399-01,فروردین 1399,سبدگردان مفید,درآمد ثابت,37424.5,1.718
ماهانه,1399-01,فروردین 1399,سبدگردان مفید,سهامی,30784.5,1.414
ماهانه,1399-01,فروردین 1399,سبدگردان مفید,مختلط,1761.2,0.081
ماهانه,1399-01,فروردین 1399,سبدگردان مفید,کالایی,1641.5,0.075
ماهانه,1399-01,فروردین 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,442.8,0.02
ماهانه,1399-01,فروردین 1399,مشاور سرمایه گذاری ترنج,سهامی,1282.5,0.059
ماهانه,1399-02,اردیبهشت 1399,سایر مدیران,اختصاصی بازارگردانی,112086.6,4.58
ماهانه,1399-02,اردیبهشت 1399,سایر مدیران,اهرمی,2068.5,0.084
ماهانه,1399-02,اردیبهشت 1399,سایر مدیران,بازنشستگی,8194.1,0.335
ماهانه,1399-02,اردیبهشت 1399,سایر مدیران,بخشی,2282.0,0.093
ماهانه,1399-02,اردیبهشت 1399,سایر مدیران,جسورانه,765.1,0.031
ماهانه,1399-02,اردیبهشت 1399,سایر مدیران,درآمد ثابت,1935095.8,79.074
ماهانه,1399-02,اردیبهشت 1399,سایر مدیران,سهامی,150510.7,6.15
ماهانه,1399-02,اردیبهشت 1399,سایر مدیران,شاخصی,3768.8,0.154
ماهانه,1399-02,اردیبهشت 1399,سایر مدیران,صندوق در صندوق,646.6,0.026
ماهانه,1399-02,اردیبهشت 1399,سایر مدیران,مختلط,14321.1,0.585
ماهانه,1399-02,اردیبهشت 1399,سایر مدیران,پروژه‌ای,9947.9,0.406
ماهانه,1399-02,اردیبهشت 1399,سایر مدیران,کالایی,19432.4,0.794
ماهانه,1399-02,اردیبهشت 1399,سبد گردان کاریزما,اختصاصی بازارگردانی,723.3,0.03
ماهانه,1399-02,اردیبهشت 1399,سبد گردان کاریزما,درآمد ثابت,27758.4,1.134
ماهانه,1399-02,اردیبهشت 1399,سبد گردان کاریزما,سهامی,6318.6,0.258
ماهانه,1399-02,اردیبهشت 1399,سبد گردان کاریزما,شاخصی,1748.0,0.071
ماهانه,1399-02,اردیبهشت 1399,سبدگردان آگاه,درآمد ثابت,5265.3,0.215
